from,to,relation
jack,bigm,3
kels,blac,3
kenn,wana,1
wana,warn,2
mitc,blue,1
blue,rcav,4
rcav,sony,2
mite,rico,1
rico,sony,2
font,rcav,1
snoo,deat,7
snoo,real,1
real,univ,2
megh,epic,1
epic,sony,2
dean,wabr,1
wabr,warn,2
juic,inte,1
inte,univ,2
dont,atla,1
atla,warn,2
dont,cact,3
carl,bigm,3
bigm,univ,4
summ,lvrn,1
lvrn,univ,2
summ,inte,1
ashl,wana,1
jimm,bbrm,1
bbrm,bmgr,2
gucc,reco,7
reco,atla,4
gher,mach,3
gher,repu,1
repu,univ,2
dust,bbrm,1
laur,bigl,3
bill,inte,1
brad,aris,1
aris,sony,2
bing,poly,1
poly,univ,2
bing,decc,1
decc,univ,2
frid,defj,1
defj,univ,2
arma,defj,1
mone,inte,1
mald,mpbr,3
aril,inte,1
aril,drea,1
drea,inte,4
fran,repr,7
repr,warn,2
lana,inte,1
lana,poly,1
russ,diem,7
elle,rcar,1
rcar,sony,2
lady,stre,1
stre,inte,4
mich,atla,1