id,Mitchell Ayres and his Orchestra,type,sort,ranking,points,gender,genre,alive
jack,Jackson Dean,1,1,126,498,2,8,1
bigm,Big Machine Records,2,5,NA,NA,NA,NA,NA
rone,The Ronettes,1,2,127,491,1,1,1
kels,Kelsea Ballerini,1,1,128,479,1,8,1
blac,Black River Entertainment,2,5,NA,NA,NA,NA,NA
kenn,Kenny Chesney,1,1,129,479,2,8,1
wana,Warner Music Nashville,2,4,NA,NA,NA,NA,NA
warn,Warner Music Group,2,3,NA,NA,NA,NA,NA
mitc,Mitchell Ayres and his Orchestra,1,1,130,470,2,1,2
blue,Bluebird Records,2,4,NA,NA,NA,NA,NA
rcav,RCA Victor Records,2,4,NA,NA,NA,NA,NA
sony,Sony Music Entertainment,2,3,NA,NA,NA,NA,NA
mite,Mitchell Tenpenny,1,1,131,470,2,8,1
rico,Riser House/Columbia Nashville,2,4,NA,NA,NA,NA,NA
font,The Fontane Sisters,1,2,132,470,1,1,2
snoo,Snoop Dogg,1,1,133,466,2,4,1
deat,Death Row Records,2,5,NA,NA,NA,NA,NA
real,Real Talk Entertainment,2,4,NA,NA,NA,NA,NA
megh,Meghan Trainor,1,1,134,451,1,1,1
epic,Epic Records,2,4,NA,NA,NA,NA,NA
dean,Dean Martin,1,1,135,450,2,1,2
wabr,Warner Bros. Records,2,4,NA,NA,NA,NA,NA
juic,Juice WRLD,1,1,136,443,2,4,2
inte,Interscope Records,2,4,NA,NA,NA,NA,NA
univ,Universal Music Group,2,3,NA,NA,NA,NA,NA
dont,Don Toliver,1,1,137,437,2,4,1
atla,Atlantic Records,2,4,NA,NA,NA,NA,NA
cact,Cactus Jack Records,2,5,NA,NA,NA,NA,NA
carl,Carly Pearce,1,1,138,414,1,8,1
summ,Summer Walker,1,1,139,409,1,6,1
lvrn,LVRN,2,4,NA,NA,NA,NA,NA
ashl,Ashley McBryde,1,1,140,407,1,8,1
jimm,Jimmie Allen,1,1,141,405,2,8,1
bbrm,BBR Music Group,2,4,NA,NA,NA,NA,NA
bmgr,BMG Rights Management,2,5,NA,NA,NA,NA,NA
gucc,Gucci Mane,1,1,142,403,2,4,1
reco,1017 Records,2,4,NA,NA,NA,NA,NA
gher,G Herbo,1,1,143,401,2,4,1
mach,Machine Entertainment Group,2,5,NA,NA,NA,NA,NA
repu,Republic Records,2,4,NA,NA,NA,NA,NA
darl,Darlene Love,1,1,144,395,1,6,1
dust,Dustin Lynch,1,1,145,395,2,8,1
laur,Lauren Alaina,1,1,146,395,1,8,1
bigl,Big Loud,2,5,NA,NA,NA,NA,NA
bill,Billie Eilish,1,1,147,386,1,1,1
brad,Brad Paisley,1,1,148,379,2,8,1
aris,Arista Nashville,2,4,NA,NA,NA,NA,NA
bing,Bing Crosby,1,1,150,378,2,1,2
poly,Polydor Records,2,4,NA,NA,NA,NA,NA
decc,Decca Records,2,4,NA,NA,NA,NA,NA
frid,Fridayy,1,1,151,370,2,4,1
defj,Def Jam Recordings,2,4,NA,NA,NA,NA,NA
arma,Armani White,1,1,152,361,2,4,1
mone,Moneybagg Yo,1,1,153,360,2,4,1
mald,Maldy,1,1,154,355,2,10,1
mpbr,"2019 MPB Records & Glad Empire, LCC",2,5,155,NA,NA,NA,NA
aril,Ari Lennox,1,1,156,354,1,4,1
drea,Dreamville,2,4,NA,NA,NA,NA,NA
fran,Frank Sinatra,1,1,157,348,2,9,2
repr,Reprise Records,2,4,NA,NA,NA,NA,NA
lana,Lana del Rey,1,1,156,345,1,1,1
russ,Russ,1,1,157,339,2,4,
diem,DIEMON,2,5,NA,NA,NA,NA,NA
elle,Elle King,1,1,158,335,1,8,1
rcar,RCA Records,2,4,NA,NA,NA,NA,NA
lady,Lady Gaga,1,1,159,332,1,1,1
stre,Streamline Records,2,4,NA,NA,NA,NA,NA
mich,Michael Ray,1,1,160,319,2,8,1